название продукта;сылка на продукт;бренд;сылка на картинку;техт для проверки
LEGO Super Heroes 76085 Конструктор ЛЕГО Супер Герои Битва за Атлантиду;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76085_lego_super_geroi_bitva_za_atlantidu/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/2d9/207_207_10240811ca8906714d1a9f41f2f5b358d/76085.jpg;LEGO Super Heroes 76085 Конструктор ЛЕГО Супер Герои Битва заАтлантиду
LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первый Микки;https://www.toy.ru/catalog/duplo/lego_duplo_10898_konstruktor_lego_duplo_disney_moy_pervyy_mikki/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/480/207_207_10240811ca8906714d1a9f41f2f5b358d/10898_3.jpg;LEGO DUPLO 10898 Конструктор ЛЕГО ДУПЛО Дисней Мой первыйМикки
LEGO Classic 11001 Конструктор ЛЕГО Классик Модели из кубиков;https://www.toy.ru/catalog/lego_classic/lego_creator_11001_konstruktor_lego_krieytor_modeli_iz_kubikov/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/45c/207_207_10240811ca8906714d1a9f41f2f5b358d/11001_10.jpg;LEGO Classic 11001 Конструктор ЛЕГО Классик Модели из кубиков
LEGO Juniors 10766 Конструктор ЛЕГО Джуниорс История игрушек-4: Вуди на машине;https://www.toy.ru/catalog/lego_juniors/lego_juniors_10766_konstruktor_lego_dzhuniors_istoriya_igrushek_4_vudi_na_mashine/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/5f5/207_207_10240811ca8906714d1a9f41f2f5b358d/1.jpg;LEGO Juniors 10766 Конструктор ЛЕГО Джуниорс Историяигрушек-4: Вуди на машине
LEGO Juniors 10768 ЛЕГО Джуниорс История игрушек-4: Приключения Базза и Бо Пип на детской площадке;https://www.toy.ru/catalog/lego_juniors/lego_juniors_10768_lego_dzhuniors_istoriya_igrushek_4_priklyucheniya_bazza_i_bo_pip_na_detskoy_ploshch/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/7af/207_207_10240811ca8906714d1a9f41f2f5b358d/1.jpg;LEGO Juniors 10768 ЛЕГО Джуниорс История игрушек-4:Приключения Базза и Бо Пип на детской площадке
LEGO City 60245 Конструктор ЛЕГО Город Ограбление полицейского монстр-трака;https://www.toy.ru/catalog/gorod/lego_city_60245_konstruktor_lego_gorod_ograblenie_politseyskogo_monstr_traka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c39/207_207_10240811ca8906714d1a9f41f2f5b358d/60245_boxprod_v29.jpg;LEGO City 60245 Конструктор ЛЕГО Город Ограбление полицейскогомонстр-трака
LEGO City 60246 Конструктор ЛЕГО Город Полицейский участок;https://www.toy.ru/catalog/gorod/lego_city_60246_konstruktor_lego_gorod_politseyskiy_uchastok/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/25f/207_207_10240811ca8906714d1a9f41f2f5b358d/60246_boxprod_v29.jpg;LEGO City 60246 Конструктор ЛЕГО Город Полицейский участок
LEGO DUPLO 10928 Конструктор ЛЕГО ДУПЛО Пекарня;https://www.toy.ru/catalog/duplo/lego_duplo_10928_konstruktor_lego_duplo_pekarnya/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/17f/207_207_10240811ca8906714d1a9f41f2f5b358d/10928_boxprod_v29.jpg;LEGO DUPLO 10928 Конструктор ЛЕГО ДУПЛО Пекарня
LEGO Creator 31099 Конструктор ЛЕГО Криэйтор Винтовой самолёт;https://www.toy.ru/catalog/krieytor/lego_creator_31099_konstruktor_lego_krieytor_vintovoy_samolyet/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/e35/207_207_10240811ca8906714d1a9f41f2f5b358d/31099_boxprod_v29.jpg;LEGO Creator 31099 Конструктор ЛЕГО Криэйтор Винтовой самолёт
LEGO Creator 31104 Конструктор ЛЕГО Криэйтор Грузовик Монстрбургер;https://www.toy.ru/catalog/krieytor/lego_creator_31104_konstruktor_lego_krieytor_gruzovik_monstrburger/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/523/207_207_10240811ca8906714d1a9f41f2f5b358d/31104_boxprod_v29.jpg;LEGO Creator 31104 Конструктор ЛЕГО Криэйтор ГрузовикМонстрбургер
